,,,,,,,,,,,,,,,,,,,,,,,,
,수집카테고리,필터이름,URL,수집상품 개수,필터 누적 매출금액,,사업자명,수집사이트,총 상품개수,매출합계,,,,,,,,,,,,,,
,텀블러,섬김Trade0- 11번가 아마존-텀블러,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25B3%25B4%25EC%2598%25A8%25EB%25B3%2591&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=82899730%2C454598160%2C428534072%2C454600436%2C454599243%2C5072307%2C185612692%2C453657166%2C453782952%2C193731&pageNo=22,,,,,,,,,,,,,,,,,,,,,
,텀블러,섬김Trade0- 11번가 아마존-텀블러,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25B3%25B4%25EC%2598%25A8%25EB%25B3%2591&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=82899730%2C454598160%2C428534072%2C454600436%2C454599243%2C5072307%2C185612692%2C453657166%2C453782952%2C193731&pageNo=23,,,,,,,,,,,,,,,,,,,,,
,텀블러,섬김Trade0- 11번가 아마존-텀블러,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25B3%25B4%25EC%2598%25A8%25EB%25B3%2591&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=82899730%2C454598160%2C428534072%2C454600436%2C454599243%2C5072307%2C185612692%2C453657166%2C453782952%2C193731&pageNo=24,,,,,,,,,,,,,,,,,,,,,
,텀블러,섬김Trade0- 11번가 아마존-텀블러,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25B3%25B4%25EC%2598%25A8%25EB%25B3%2591&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=82899730%2C454598160%2C428534072%2C454600436%2C454599243%2C5072307%2C185612692%2C453657166%2C453782952%2C193731&pageNo=25,,,,,,,,,,,,,,,,,,,,,
,무선이어폰,섬김Trade0- 11번가 아마존-무선이어폰,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AC%25B4%25EC%2584%25A0%25EC%259D%25B4%25EC%2596%25B4%25ED%258F%25B0%2520%25EC%25BC%2580%25EC%259D%25B4%25EC%258A%25A4&tabId=AMAZON&pageNo=1&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=428517846%2C451053541%2C193595,,,,,,,,,,,,,,,,,,,,,
,이어팁,섬김Trade0- 11번가 아마존-이어팁,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259D%25B4%25EC%2596%25B4%25ED%258C%2581&tabId=AMAZON&pageNo=1&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=428516188%2C65626805%2C210314,,,,,,,,,,,,,,,,,,,,,
,전자책 리더기 케이스,섬김Trade0- 11번가 아마존-전자책 리더기 케이스,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%25A0%2584%25EC%259E%2590%25EC%25B1%2585%2520%25EB%25A6%25AC%25EB%258D%2594%25EA%25B8%25B0%2520%25EC%25BC%2580%25EC%259D%25B4%25EC%258A%25A4&tabId=AMAZON&pageNo=1&reviewGrade=4&brandCd=452645114%2C5643851%2C450912602&benefits=NON_MBSHP_FREE_DLV%2CMBSHP_PRD,,,,,,,,,,,,,,,,,,,,,
,노트북 스탠드,섬김Trade0- 11번가 아마존-노트북 스탠드,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%2585%25B8%25ED%258A%25B8%25EB%25B6%2581%2520%25EC%258A%25A4%25ED%2583%25A0%25EB%2593%259C&tabId=AMAZON&pageNo=1&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=450777009%2C451944472%2C205809668,,,,,,,,,,,,,,,,,,,,,
,셀카 액세서리,섬김Trade0- 11번가 아마존-셀카 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2585%2580%25EC%25B9%25B4%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&pageNo=1&reviewGrade=4&brandCd=455281991%2C42568216%2C93407636%2C428538721&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV,,,,,,,,,,,,,,,,,,,,,
,"저항밴드, 푸쉬업바","섬김Trade0- 11번가 아마존-저항밴드, 푸쉬업바",https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%25A0%2580%25ED%2595%25AD%25EB%25B0%25B4%25EB%2593%259C%252C%2520%25ED%2591%25B8%25EC%2589%25AC%25EC%2597%2585%25EB%25B0%2594&tabId=AMAZON&pageNo=1&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=14129758%2C453104116%2C452953949%2C448987695&reviewGrade=4,,,,,,,,,,,,,,,,,,,,,
,스키 고글,섬김Trade0- 11번가 아마존-스키 고글,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%258A%25A4%25ED%2582%25A4%2520%25EA%25B3%25A0%25EA%25B8%2580&tabId=AMAZON&reviewGrade=4&brandCd=179060%2C189437482%2C205809204&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,스키 고글,섬김Trade0- 11번가 아마존-스키 고글,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%258A%25A4%25ED%2582%25A4%2520%25EA%25B3%25A0%25EA%25B8%2580&tabId=AMAZON&reviewGrade=4&brandCd=179060%2C189437482%2C205809204&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=2,,,,,,,,,,,,,,,,,,,,,
,보드게임·퍼즐,섬김Trade0- 11번가 아마존-보드게임·퍼즐,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25B3%25B4%25EB%2593%259C%25EA%25B2%258C%25EC%259E%2584%25C2%25B7%25ED%258D%25BC%25EC%25A6%2590&tabId=AMAZON&pageNo=1&reviewGrade=4&brandCd=185611596%2C454601076%2C428518590&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV,,,,,,,,,,,,,,,,,,,,,
,DIY 공예 키트,섬김Trade0- 11번가 아마존-DIY 공예 키트,https://searchn.11st.co.kr/pc/amazon?kwd=DIY%2520%25EA%25B3%25B5%25EC%2598%2588%2520%25ED%2582%25A4%25ED%258A%25B8&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=185611740%2C454104800%2C205809574&reviewGrade=4&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,DIY 공예 키트,섬김Trade0- 11번가 아마존-DIY 공예 키트,https://searchn.11st.co.kr/pc/amazon?kwd=DIY%2520%25EA%25B3%25B5%25EC%2598%2588%2520%25ED%2582%25A4%25ED%258A%25B8&tabId=AMAZON&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=185611740%2C454104800%2C205809574&reviewGrade=4&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=2,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=3,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=4,,,,,,,,,,,,,,,,,,,,,
,미술·공예 재료,섬김Trade0- 11번가 아마존-미술·공예 재료,https://searchn.11st.co.kr/pc/amazon?kwd=%25EB%25AF%25B8%25EC%2588%25A0%25C2%25B7%25EA%25B3%25B5%25EC%2598%2588%2520%25EC%259E%25AC%25EB%25A3%258C&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=451053219%2C453657231%2C455281214&pageNo=5,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=2,,,,,https://www.11st.co.kr/amazon/category?dispCtgr3No=1151108,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=3,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=4,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=5,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=6,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=7,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=8,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=9,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=10,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=11,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=12,,,,,,,,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=13,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=2,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=3,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=4,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=5,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=6,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=7,,,,,,,,,,,,,,,,,,,,,
